Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,67.0,29.96,18.5,11.46,3.85,3.73,14.25198332,77.25077264
20100102,0.0,63.22,29.57,16.88,12.69,3.0,3.65,14.25198332,77.25077264
20100103,0.0,63.65,29.31,16.87,12.44,2.18,2.49,14.25198332,77.25077264
20100104,0.0,55.93,30.34,14.56,15.78,3.71,4.05,14.25198332,77.25077264
20100105,0.0,54.77,30.85,14.95,15.9,3.08,5.51,14.25198332,77.25077264
20100106,0.0,58.26,29.91,15.57,14.34,3.18,4.65,14.25198332,77.25077264
20100107,0.0,62.28,29.9,15.69,14.2,3.2,5.5,14.25198332,77.25077264
20100108,0.01,61.87,30.56,16.29,14.27,3.0,4.96,14.25198332,77.25077264
20100109,0.04,72.62,29.33,19.18,10.15,1.65,1.62,14.25198332,77.25077264
20100110,0.51,66.06,32.0,20.86,11.14,1.93,2.69,14.25198332,77.25077264
20100111,0.3,65.12,32.42,19.96,12.47,2.46,3.0,14.25198332,77.25077264
20100112,0.61,63.95,32.36,20.35,12.01,3.45,5.11,14.25198332,77.25077264
20100113,15.1,72.19,31.11,20.93,10.18,3.29,5.6,14.25198332,77.25077264
20100114,4.3,75.62,28.44,21.06,7.37,1.71,4.06,14.25198332,77.25077264
20100115,0.03,70.41,28.69,19.84,8.85,2.99,2.84,14.25198332,77.25077264
20100116,0.0,72.81,28.12,17.76,10.37,3.39,3.63,14.25198332,77.25077264
20100117,0.01,64.45,30.7,16.17,14.52,2.52,3.67,14.25198332,77.25077264
20100118,0.01,65.59,30.7,17.28,13.42,2.28,5.23,14.25198332,77.25077264
20100119,0.0,65.26,29.83,17.64,12.19,1.67,3.65,14.25198332,77.25077264
20100120,0.0,55.22,30.11,16.73,13.39,2.59,4.13,14.25198332,77.25077264
20100121,0.0,53.98,29.33,13.45,15.88,2.44,3.88,14.25198332,77.25077264
20100122,0.0,52.39,29.4,13.17,16.22,1.33,3.95,14.25198332,77.25077264
20100123,0.0,54.63,29.09,13.07,16.02,2.88,3.64,14.25198332,77.25077264
20100124,0.0,53.18,29.33,13.83,15.5,1.51,5.24,14.25198332,77.25077264
20100125,0.0,54.36,29.53,14.54,14.98,1.84,3.51,14.25198332,77.25077264
20100126,0.0,54.53,30.03,14.88,15.15,2.32,4.82,14.25198332,77.25077264
20100127,0.0,61.09,29.97,16.61,13.36,2.6,5.32,14.25198332,77.25077264
20100128,0.0,56.35,31.29,17.51,13.78,3.16,3.9,14.25198332,77.25077264
20100129,0.0,54.41,31.0,16.21,14.79,2.46,3.96,14.25198332,77.25077264
20100130,0.0,51.12,31.16,16.14,15.03,2.33,3.98,14.25198332,77.25077264
20100131,0.0,49.03,31.46,16.28,15.18,1.72,5.02,14.25198332,77.25077264
20100201,0.0,46.75,32.26,16.13,16.13,2.57,5.76,14.25198332,77.25077264
20100202,0.0,46.32,32.03,16.76,15.26,3.46,5.57,14.25198332,77.25077264
20100203,0.0,42.63,32.59,15.35,17.24,3.22,5.49,14.25198332,77.25077264
20100204,0.0,38.29,31.81,15.09,16.72,3.45,4.58,14.25198332,77.25077264
20100205,0.0,40.45,32.0,14.2,17.8,3.68,5.5,14.25198332,77.25077264
20100206,0.0,44.41,31.7,13.71,17.99,4.32,4.34,14.25198332,77.25077264
20100207,0.0,51.98,31.04,14.95,16.09,3.15,4.35,14.25198332,77.25077264
20100208,0.0,44.22,32.46,15.99,16.47,2.36,4.85,14.25198332,77.25077264
20100209,0.0,38.56,34.03,15.09,18.94,3.62,6.61,14.25198332,77.25077264
20100210,0.0,41.98,34.91,16.77,18.14,3.57,5.12,14.25198332,77.25077264
20100211,0.0,44.04,34.62,20.72,13.9,3.38,4.13,14.25198332,77.25077264
20100212,0.0,44.85,35.4,20.39,15.01,4.7,6.62,14.25198332,77.25077264
20100213,0.0,39.61,36.4,19.58,16.81,4.22,5.31,14.25198332,77.25077264
20100214,0.0,35.11,36.82,19.75,17.08,3.8,6.67,14.25198332,77.25077264
20100215,0.0,33.72,37.36,19.51,17.85,4.33,6.84,14.25198332,77.25077264
20100216,0.0,31.03,37.21,18.87,18.34,3.98,6.88,14.25198332,77.25077264
20100217,0.0,32.06,37.84,18.24,19.6,3.31,6.71,14.25198332,77.25077264
20100218,0.0,30.3,37.51,20.0,17.51,2.3,5.02,14.25198332,77.25077264
20100219,0.0,29.97,37.55,20.33,17.22,4.14,6.96,14.25198332,77.25077264
20100220,0.0,28.03,37.77,19.76,18.01,3.51,6.65,14.25198332,77.25077264
20100221,0.0,35.38,36.76,20.56,16.2,3.03,5.25,14.25198332,77.25077264
20100222,0.0,33.58,37.45,21.82,15.62,3.51,6.24,14.25198332,77.25077264
20100223,0.0,34.65,37.54,21.39,16.14,5.1,5.3,14.25198332,77.25077264
20100224,0.0,36.77,36.61,23.9,12.71,2.85,4.52,14.25198332,77.25077264
20100225,0.0,26.47,37.15,21.4,15.75,1.94,4.28,14.25198332,77.25077264
20100226,0.0,33.29,35.39,21.71,13.68,2.77,5.24,14.25198332,77.25077264
20100227,0.0,28.55,37.67,22.25,15.43,3.57,6.47,14.25198332,77.25077264
20100228,0.0,31.12,37.18,20.86,16.32,2.66,4.86,14.25198332,77.25077264
20100301,0.0,26.81,37.32,19.71,17.61,2.41,4.92,14.25198332,77.25077264
20100302,0.0,25.81,37.52,19.65,17.87,1.99,4.77,14.25198332,77.25077264
20100303,0.0,23.89,37.25,19.1,18.16,3.73,6.77,14.25198332,77.25077264
20100304,0.0,27.35,37.86,20.65,17.21,4.51,6.77,14.25198332,77.25077264
20100305,0.0,28.91,38.27,21.56,16.71,4.25,5.17,14.25198332,77.25077264
20100306,0.0,31.18,38.08,21.83,16.25,3.62,4.84,14.25198332,77.25077264
20100307,0.0,31.73,38.19,21.63,16.56,2.44,2.27,14.25198332,77.25077264
20100308,0.0,32.99,38.82,22.7,16.12,3.06,5.58,14.25198332,77.25077264
20100309,0.0,25.28,39.81,22.79,17.03,2.97,5.0,14.25198332,77.25077264
20100310,0.0,29.66,38.97,21.19,17.78,2.62,4.06,14.25198332,77.25077264
20100311,0.0,34.43,38.3,21.48,16.82,4.18,5.17,14.25198332,77.25077264
20100312,0.0,32.12,37.95,19.48,18.47,5.01,5.62,14.25198332,77.25077264
20100313,0.0,28.89,35.32,20.84,14.48,1.92,4.31,14.25198332,77.25077264
