WKT,pid,STATUS
"MULTIPOLYGON (((848838.353882105 1552888.4096647,848849.543060215 1552895.35980939,848859.979351029 1552834.31797712,848768.960358154 1552811.51735047,848762.409411678 1552813.5453808,848761.781595 1552848.91380629,848783.221908539 1552851.12253758,848781.796588516 1552867.39646721,848781.586782965 1552872.19003227,848786.171359578 1552876.0964999,848787.139133491 1552879.79655924,848787.026969823 1552884.31452905,848792.639253906 1552886.35014961,848798.065970085 1552887.45075469,848803.420037884 1552886.09687535,848808.91190855 1552884.14848373,848813.861326236 1552885.48825932,848819.086153328 1552886.46802565,848823.388020493 1552888.23827228,848828.993464424 1552887.2145021,848833.332010836 1552886.56310751,848838.353882105 1552888.4096647)))",PC79698,TRUE
"MULTIPOLYGON (((849135.987838532 1554017.07332244,849073.669085276 1554044.4983831,849102.440517121 1554104.33104,849151.515246302 1554090.13305211,849135.987838532 1554017.07332244)))",PC79697,TRUE
"MULTIPOLYGON (((849184.178218141 1553851.51719953,849285.519530962 1553830.09597106,849277.824893369 1553815.5029256,849270.908603638 1553804.12130341,849258.681173728 1553784.24389056,849250.010767682 1553786.69744533,849245.209297355 1553791.41151984,849237.674806434 1553794.05725428,849230.510682655 1553791.37635303,849224.354413514 1553790.3836977,849219.318841226 1553788.89683897,849214.492576723 1553786.07249888,849208.733225069 1553780.52747474,849190.063295321 1553774.71257936,849181.290362129 1553778.8039548,849179.382350896 1553786.02163697,849177.665979761 1553793.7265533,849184.178218141 1553851.51719953)))",PC79695,TRUE
"MULTIPOLYGON (((849154.001503338 1553962.84580373,849156.617516712 1553964.11486226,849163.78944104 1553968.20455506,849170.607162219 1553969.72135739,849177.33925481 1553971.702234,849184.133757323 1553972.0242609,849192.595535449 1553971.29086495,849200.381239279 1553968.19994178,849206.991581894 1553966.69713099,849214.77815249 1553966.17238312,849221.426038047 1553965.7502344,849227.138677228 1553965.57182578,849232.051052061 1553964.99663486,849236.515314907 1553966.20982407,849243.112677037 1553966.1838874,849250.40314108 1553966.08813397,849257.348914027 1553968.92302683,849263.090525455 1553967.67983272,849268.51464919 1553966.71841623,849271.818664358 1553963.29272776,849271.306951763 1553955.38762163,849269.181347991 1553950.68765863,849267.621072056 1553945.3768858,849266.00204875 1553939.74406754,849264.823554782 1553935.25270492,849263.18635447 1553930.55190138,849262.508380719 1553924.78065991,849263.055995113 1553920.07101626,849261.74458684 1553915.01112017,849258.834970538 1553907.81157791,849256.96940657 1553902.28615682,849251.277288825 1553901.48638794,849245.16670072 1553904.66117275,849238.955821421 1553906.34668606,849233.166887788 1553908.01205961,849228.76663622 1553909.75184227,849223.794613116 1553911.91757954,849218.09021415 1553914.78599739,849213.380024057 1553919.1542709,849206.796553996 1553923.95282695,849201.697047265 1553928.19391941,849195.479643444 1553932.85171448,849190.614251772 1553936.31318461,849185.178520784 1553940.48309977,849179.620394219 1553944.25632412,849173.184475737 1553948.28714779,849168.342609376 1553952.0054924,849163.382842967 1553955.25155004,849159.746713265 1553958.70958813,849154.001503338 1553962.84580373)))",PC79297,TRUE
"MULTIPOLYGON (((832359.406824231 1561399.58048868,832367.323311672 1561495.60584552,832395.836565063 1561491.56709639,832398.027866515 1561467.23171224,832394.786332272 1561457.40522441,832398.294308818 1561446.89981291,832406.610665136 1561426.67340436,832408.03422988 1561418.05911033,832407.206277516 1561409.79899757,832397.451379016 1561411.20591194,832387.167534827 1561410.1119359,832380.895476124 1561402.93154773,832375.873546576 1561400.37178098,832359.406824231 1561399.58048868)))",PC77299,TRUE
"MULTIPOLYGON (((832250.08123597 1561459.01595775,832255.752559497 1561466.32442415,832254.784962647 1561472.10985746,832254.099895914 1561477.64247936,832256.522006507 1561483.50554216,832264.167627487 1561490.1458734,832271.977105988 1561496.79566434,832282.10463846 1561502.94242222,832288.893902523 1561504.95299335,832293.377377044 1561508.45260721,832337.306350008 1561498.62474999,832327.235276588 1561434.94295493,832254.558215753 1561452.55657561,832250.08123597 1561459.01595775)))",PC77298,TRUE
"MULTIPOLYGON (((832244.638490017 1561453.65049981,832246.753493276 1561423.81268939,832240.775690744 1561422.15788129,832234.684707939 1561421.43571331,832228.889726382 1561421.50379543,832220.127047382 1561420.91653875,832211.847466436 1561420.30415746,832203.701377098 1561419.54400589,832198.036227363 1561417.12731115,832201.618159587 1561409.81622177,832205.45414993 1561404.5667594,832210.663108477 1561398.8960182,832208.577779199 1561396.62588714,832202.56769537 1561393.44045487,832195.098739696 1561392.01909902,832189.356211431 1561397.29343537,832185.424470675 1561401.60021524,832182.432860487 1561405.93215486,832179.992994932 1561411.05591926,832178.381450924 1561418.00693801,832181.096147958 1561425.5998495,832184.045706496 1561433.00555772,832186.515455672 1561440.87027122,832189.321632383 1561446.85099244,832192.142845539 1561454.83649377,832195.730467535 1561462.91332859,832198.027384296 1561469.67009873,832244.638490017 1561453.65049981)))",PC76898,TRUE
"MULTIPOLYGON (((848867.819884388 1552831.98088514,848853.319620632 1552900.97647399,848878.684857318 1552902.56020641,848881.127500296 1552883.82148171,848887.87715541 1552883.35438195,848892.712665635 1552882.75033549,848894.111733303 1552869.33162016,848894.728907017 1552862.23668976,848892.218475718 1552855.63174248,848887.652882453 1552851.38421969,848883.886747458 1552848.00401399,848881.108633087 1552843.15673794,848878.706980137 1552837.00550408,848876.098645283 1552832.9266514,848871.437914201 1552830.76932615,848867.819884388 1552831.98088514)))",PC79699,TRUE
"MULTIPOLYGON (((849116.326332487 1553875.71856156,849113.255035352 1553862.28410385,849122.533917549 1553853.29730558,849130.100912316 1553858.34073405,849138.055962115 1553856.17120437,849143.970123674 1553859.0474269,849149.5095223 1553859.28013731,849155.969297538 1553854.17159136,849164.566977197 1553855.09420578,849171.174713703 1553855.89186963,849177.716845029 1553855.03613076,849182.88005359 1553851.54550212,849176.208927617 1553793.90599032,849168.732417166 1553794.03246029,849163.283789936 1553793.61445097,849158.788545809 1553789.78850806,849151.999415903 1553786.44070874,849144.43621786 1553784.86564002,849136.531187385 1553783.50201039,849128.909794002 1553782.75705488,849128.198308152 1553786.00956498,849129.977815884 1553794.40279891,849132.024280535 1553801.85258318,849130.460883407 1553810.06711669,849126.415549123 1553816.03398625,849120.747344214 1553816.51954105,849112.090800039 1553816.07234999,849103.229733569 1553815.68151418,849096.86313864 1553815.31187434,849098.675105155 1553878.6988022,849116.326332487 1553875.71856156)))",PC79299,TRUE
"MULTIPOLYGON (((849117.977219069 1553946.39763604,849133.766444969 1553944.60314631,849137.18931076 1553944.86425434,849141.982870688 1553944.27811371,849147.800442227 1553942.426064,849157.702652394 1553879.61941424,849154.051369047 1553876.94963955,849148.847759284 1553872.33493068,849144.153201845 1553870.16042507,849138.568907257 1553869.1313102,849131.221215893 1553868.79253275,849126.765861267 1553865.48212117,849121.575672096 1553863.04605672,849118.884112728 1553867.02470684,849117.977219069 1553946.39763604)))",PC79298,TRUE
"MULTIPOLYGON (((832141.993017024 1560916.17292651,832144.261963153 1560924.23977857,832144.792838707 1560932.40770535,832146.884785172 1560939.27983745,832148.324177172 1560947.41158914,832149.348699138 1560954.47642052,832150.828366064 1560963.38776093,832152.682151587 1560971.37541709,832153.243514178 1560975.01734954,832160.502891468 1560974.29101171,832164.358578299 1560968.67199527,832167.439471032 1560959.85071243,832169.961591468 1560955.9593004,832174.687507104 1560953.61587339,832183.428891694 1560951.20115126,832189.944453653 1560951.28279742,832196.779962073 1560946.05624399,832202.105917111 1560942.8750035,832205.98238687 1560936.60156001,832212.275089566 1560931.96572104,832220.549944381 1560927.58476915,832227.414107187 1560925.67914254,832233.998386332 1560922.71766589,832233.06289506 1560918.06848433,832229.290595834 1560911.98463392,832224.288910125 1560904.15511437,832220.442387911 1560896.85396646,832217.619095012 1560886.95590699,832213.684107678 1560882.55542336,832207.760055385 1560882.56458652,832200.365122969 1560886.07101305,832193.54565457 1560889.79729523,832185.878964457 1560893.69158071,832179.849684173 1560897.19750461,832173.230488779 1560900.76205014,832165.056906486 1560904.56663746,832157.781817409 1560907.5817763,832149.43526264 1560911.66841516,832143.489234334 1560914.31519017,832141.993017024 1560916.17292651)))",PC80116,TRUE
