,PRECTOT,RH2M,T2M,WS2M
20100101,0.0,45.01,17.04,1.61
20100102,0.0,37.95,16.32,1.28
20100103,0.0,38.87,17.6,1.17
20100104,0.0,43.32,18.75,1.55
20100105,0.0,47.59,18.08,1.46
20100106,0.0,37.4,16.92,1.13
20100107,0.0,41.22,16.13,1.36
20100108,0.0,40.22,17.56,1.09
20100109,0.0,39.18,19.77,0.95
20100110,0.0,42.94,21.18,1.02
20100111,0.0,45.72,20.65,1.27
20100112,1.56,62.78,18.79,2.21
20100113,9.11,84.64,18.67,1.49
20100114,1.13,66.13,19.11,1.31
20100115,0.0,47.66,18.07,1.19
20100116,0.0,41.24,18.45,0.86
20100117,0.0,41.22,18.48,0.87
20100118,0.0,38.99,18.37,0.91
20100119,0.0,30.28,17.56,1.55
20100120,0.0,31.58,16.64,1.7
20100121,0.0,29.61,16.77,1.54
20100122,0.0,29.38,17.38,1.45
20100123,0.0,30.15,17.49,1.52
20100124,0.0,31.09,17.74,1.38
20100125,0.0,31.29,18.49,1.28
20100126,0.0,31.3,18.75,1.1
20100127,0.0,31.67,18.45,1.33
20100128,0.0,28.53,19.21,0.97
20100129,0.0,28.67,19.79,0.89
20100130,0.0,28.19,20.18,1.36
20100131,0.0,32.34,20.56,0.93
20100201,0.0,36.13,20.64,1.0
20100202,0.05,38.3,21.72,0.96
20100203,0.0,43.94,21.99,1.14
20100204,1.01,60.37,19.39,1.97
20100205,0.0,44.43,21.01,1.31
20100206,0.0,28.21,21.17,1.42
20100207,0.0,27.02,21.5,1.29
20100208,0.0,27.33,22.84,1.33
20100209,0.0,33.11,23.81,1.79
20100210,0.0,36.23,24.72,0.98
20100211,0.0,38.49,24.16,1.78
20100212,0.0,35.88,24.61,1.91
20100213,0.0,33.51,27.46,1.25
20100214,0.01,38.5,27.15,1.12
20100215,1.31,40.47,27.58,2.48
20100216,0.34,43.78,27.03,1.73
20100217,0.91,38.21,25.7,1.86
20100218,0.0,26.53,24.46,1.34
20100219,0.0,21.05,24.37,1.63
20100220,0.0,20.6,24.27,1.35
20100221,0.0,20.96,24.14,1.59
20100222,0.06,21.05,24.8,1.66
20100223,0.89,28.52,27.07,1.84
20100224,0.8,27.03,25.96,2.48
20100225,0.0,25.59,25.13,1.72
20100226,0.0,22.22,25.77,1.53
20100227,0.0,19.86,25.72,1.74
20100228,0.0,16.98,27.01,1.21
20100301,0.0,15.17,28.05,1.05
20100302,0.0,17.74,28.26,1.39
20100303,0.0,21.81,29.18,1.85
20100304,0.0,24.25,29.29,1.41
20100305,0.0,23.12,29.1,2.16
20100306,0.0,24.2,29.37,1.72
20100307,0.0,24.91,29.49,2.03
20100308,0.0,20.17,28.76,1.82
20100309,0.0,20.58,28.56,1.85
20100310,0.74,21.0,28.94,1.72
20100311,0.85,22.81,27.99,1.87
20100312,0.82,34.91,29.09,1.89
20100313,0.04,31.8,29.99,2.2
20100314,0.0,14.94,28.96,1.65
20100315,0.0,13.99,29.75,1.49
20100316,0.0,13.76,30.89,0.82
20100317,0.0,14.6,31.04,0.68
20100318,0.0,19.3,30.35,1.03
20100319,0.0,17.92,30.43,1.32
20100320,0.0,14.88,30.73,1.74
20100321,0.0,12.42,31.38,1.36
20100322,0.0,11.6,31.68,1.38
20100323,0.0,12.2,32.02,1.56
20100324,0.0,15.39,32.23,1.59
20100325,0.0,20.41,32.54,1.79
20100326,0.03,20.15,32.67,1.67
20100327,0.0,24.14,32.7,1.96
20100328,0.0,18.8,32.88,1.56
20100329,0.25,20.66,32.5,1.79
20100330,0.27,17.61,32.68,2.15
20100331,0.0,13.51,32.07,2.75
20100401,0.0,15.74,31.8,2.93
20100402,0.0,15.26,31.98,2.05
20100403,0.0,16.97,32.35,2.27
20100404,0.0,12.96,32.51,1.97
20100405,0.0,11.12,32.55,2.04
20100406,0.0,9.39,33.03,1.75
20100407,0.0,11.63,33.75,1.26
20100408,0.0,10.76,33.83,1.28
20100409,0.0,11.34,33.71,1.78
20100410,0.0,14.59,34.95,2.41
20100411,0.0,13.02,35.12,1.79
20100412,0.0,12.63,35.1,2.45
20100413,0.0,13.0,35.1,2.01
20100414,0.0,12.05,34.93,1.51
20100415,0.0,11.47,35.19,1.06
20100416,0.0,15.38,35.33,1.44
20100417,0.0,22.72,35.35,2.67
20100418,0.0,18.52,35.92,2.4
20100419,0.0,17.51,36.34,2.64
20100420,0.03,15.64,35.97,3.84
20100421,0.0,16.53,35.18,2.58
20100422,0.0,15.41,35.3,1.84
20100423,0.0,14.56,35.81,2.0
20100424,0.23,12.51,34.64,1.73
20100425,0.0,10.11,34.48,1.34
20100426,0.89,24.38,34.47,2.64
20100427,0.0,24.36,35.23,2.58
20100428,0.04,23.39,35.56,2.61
20100429,5.51,34.47,34.22,3.48
20100430,1.58,34.72,33.47,3.87
20100501,0.31,47.04,29.17,3.84
20100502,0.06,38.82,29.18,1.81
20100503,0.1,30.32,32.94,1.61
20100504,0.04,30.15,33.98,3.36
20100505,0.73,30.09,34.58,3.36
20100506,0.9,25.8,35.17,0.78
20100507,3.43,35.65,34.94,2.71
20100508,1.52,30.2,35.48,2.1
20100509,0.0,21.13,35.63,1.72
20100510,0.0,17.96,35.78,2.32
20100511,0.0,15.27,36.09,2.23
20100512,0.0,12.29,36.98,1.93
20100513,0.0,18.1,36.95,2.11
20100514,0.03,19.19,37.54,2.12
20100515,0.05,25.66,36.89,3.03
20100516,0.04,15.62,37.01,1.86
20100517,0.03,21.51,37.39,2.01
20100518,0.0,26.07,37.67,1.68
20100519,0.18,31.84,36.87,2.88
20100520,0.57,40.25,34.13,3.0
20100521,0.8,47.51,32.3,3.25
20100522,0.07,43.91,33.7,3.25
20100523,0.0,36.88,35.16,2.47
20100524,0.03,27.1,36.84,2.15
20100525,0.0,14.89,38.55,3.18
20100526,0.0,18.93,38.74,4.29
20100527,2.67,26.02,38.23,3.81
20100528,1.63,26.73,37.79,2.87
20100529,0.28,24.29,37.65,3.13
20100530,0.08,17.11,37.25,3.93
20100531,0.0,16.21,37.19,2.88
20100601,0.0,14.86,37.68,1.73
20100602,0.0,18.89,38.01,2.69
20100603,0.0,25.56,37.6,3.89
20100604,0.81,29.44,37.37,2.52
20100605,0.18,26.9,38.14,3.8
20100606,0.12,24.12,38.1,3.61
20100607,0.18,26.01,37.21,2.85
20100608,0.35,29.39,36.42,2.4
20100609,0.37,26.51,36.28,2.4
20100610,0.13,35.31,35.31,2.66
20100611,0.08,34.66,35.69,2.07
20100612,1.89,36.2,35.46,2.9
20100613,0.44,43.24,33.41,2.8
20100614,1.45,45.01,33.47,2.62
20100615,9.34,50.53,31.65,2.23
20100616,20.0,75.49,28.37,3.29
20100617,15.24,70.18,29.01,3.69
20100618,2.17,66.81,30.11,2.98
20100619,9.98,63.05,30.33,2.88
20100620,6.98,72.89,28.86,2.84
20100621,10.6,74.35,28.91,3.33
20100622,0.6,66.34,30.33,3.55
20100623,6.36,60.56,31.51,3.72
20100624,3.33,75.76,28.24,3.64
20100625,2.78,65.97,29.97,2.29
20100626,7.83,65.1,29.9,2.14
20100627,2.48,65.98,29.92,2.46
20100628,1.97,64.82,30.58,2.03
20100629,7.53,68.66,30.16,1.97
20100630,24.4,77.26,28.8,2.61
20100701,3.08,80.77,27.6,2.04
20100702,9.36,78.67,27.92,1.35
20100703,15.95,84.13,27.54,1.23
20100704,16.03,85.36,26.69,1.94
20100705,2.89,81.75,26.94,1.79
20100706,4.4,84.35,26.63,1.44
20100707,26.88,82.67,27.35,1.66
20100708,14.32,84.41,26.89,3.5
20100709,2.35,86.74,26.26,3.21
20100710,0.75,87.49,26.69,3.79
20100711,28.59,86.03,27.28,2.71
20100712,19.89,87.97,26.0,2.96
20100713,15.85,84.94,26.54,2.52
20100714,9.02,85.09,26.72,1.97
20100715,4.06,86.23,27.22,2.02
20100716,0.81,88.03,27.05,2.18
20100717,1.0,78.73,28.12,1.16
20100718,9.3,83.13,27.84,1.55
20100719,3.39,85.65,27.69,1.42
20100720,4.67,80.1,28.12,0.58
20100721,10.32,81.93,28.29,0.85
20100722,12.37,83.11,27.91,1.56
20100723,16.78,87.35,26.79,2.03
20100724,66.74,92.4,25.89,2.32
20100725,82.91,92.36,25.01,4.05
20100726,39.12,92.03,24.63,4.59
20100727,9.87,86.61,26.5,2.14
20100728,0.9,82.79,27.55,1.14
20100729,6.11,83.82,27.97,1.25
20100730,9.07,87.82,26.82,1.7
20100731,12.82,86.6,26.79,1.33
20100801,5.96,88.42,25.91,2.44
20100802,12.24,90.35,25.75,2.35
20100803,12.71,89.14,26.07,2.26
20100804,9.1,89.2,26.07,2.51
20100805,25.55,92.79,24.54,2.37
20100806,29.58,90.81,26.43,1.91
20100807,8.33,90.36,24.32,3.51
20100808,0.91,87.22,24.84,2.39
20100809,1.33,85.64,26.3,1.64
20100810,1.27,84.39,27.27,1.77
20100811,7.48,87.51,27.4,1.41
20100812,5.69,88.56,27.14,1.32
20100813,3.45,87.93,26.87,1.8
20100814,5.17,88.83,26.74,1.08
20100815,8.36,94.21,25.91,1.61
20100816,3.69,86.75,27.15,2.0
20100817,2.52,90.76,26.55,2.5
20100818,7.91,89.98,26.54,1.93
20100819,17.33,84.16,27.42,0.78
20100820,19.39,90.67,26.35,0.95
20100821,7.6,89.64,26.53,1.93
20100822,1.28,87.93,26.68,1.94
20100823,2.49,86.73,27.14,1.04
20100824,15.53,85.59,27.43,0.74
20100825,16.61,87.47,27.0,1.56
20100826,11.23,86.0,26.6,1.91
20100827,16.07,87.04,26.74,1.5
20100828,5.44,88.45,26.47,1.64
20100829,16.98,84.53,27.21,0.95
20100830,15.82,85.46,27.63,0.67
20100831,8.93,90.83,26.21,2.23
20100901,4.47,89.19,25.79,2.51
20100902,17.59,93.09,26.05,2.45
20100903,9.1,92.01,26.51,2.11
20100904,16.67,88.23,26.98,2.32
20100905,10.81,87.93,27.04,1.61
20100906,13.33,90.27,26.58,2.27
20100907,16.03,91.99,26.4,0.86
20100908,13.99,91.52,26.08,2.12
20100909,9.93,91.84,25.8,2.84
20100910,3.72,87.19,25.55,2.02
20100911,2.02,87.67,25.92,1.4
20100912,0.43,87.11,26.09,1.06
20100913,8.32,89.43,25.98,0.95
20100914,19.05,84.84,26.34,0.73
20100915,16.82,83.67,26.01,0.71
20100916,12.45,87.61,26.23,0.85
20100917,51.85,90.88,25.55,1.58
20100918,40.75,89.2,24.91,1.36
20100919,22.76,92.41,24.5,1.82
20100920,4.6,92.13,24.5,2.04
20100921,0.35,87.97,25.11,1.12
20100922,2.29,82.6,25.72,0.95
20100923,2.62,75.83,26.81,0.79
20100924,0.01,76.11,26.65,0.77
20100925,3.25,78.62,26.09,1.22
20100926,2.72,77.96,26.13,0.94
20100927,0.26,79.54,25.61,0.88
20100928,0.6,74.79,25.47,1.07
20100929,0.14,74.78,23.85,1.29
20100930,0.0,78.59,23.38,1.47
20101001,0.0,80.96,24.29,1.39
20101002,0.85,83.95,25.26,1.29
20101003,0.88,85.96,25.92,1.13
20101004,2.16,86.47,25.96,1.04
20101005,0.34,86.35,25.73,1.4
20101006,0.0,84.88,25.26,1.73
20101007,4.7,86.5,25.37,1.91
20101008,2.41,81.0,25.38,1.07
20101009,0.46,79.61,25.66,0.55
20101010,1.12,70.04,26.34,0.68
20101011,0.05,70.05,25.52,0.9
20101012,0.0,77.4,24.26,1.42
20101013,0.0,80.03,23.73,1.58
20101014,0.03,79.95,23.36,1.86
20101015,6.36,84.11,23.41,2.07
20101016,4.01,90.86,24.13,3.51
20101017,1.24,88.11,25.22,2.89
20101018,1.12,87.04,25.26,1.43
20101019,2.34,84.2,25.72,1.03
20101020,4.59,80.37,26.22,0.57
20101021,4.65,81.52,26.2,0.77
20101022,18.91,90.61,23.57,1.17
20101023,2.44,77.86,23.62,1.09
20101024,0.0,76.7,24.13,1.0
20101025,0.0,78.81,23.28,1.3
20101026,0.0,74.71,21.77,1.54
20101027,0.0,72.58,20.68,1.46
20101028,0.0,69.52,20.9,1.41
20101029,0.0,74.06,20.64,1.25
20101030,0.08,83.01,19.58,1.59
20101031,1.37,89.25,19.72,1.99
20101101,0.7,87.57,21.76,1.88
20101102,0.44,86.64,22.63,1.73
20101103,0.07,86.56,22.95,1.42
20101104,0.0,84.14,23.1,1.35
20101105,0.0,75.6,21.72,1.4
20101106,0.0,77.38,20.35,1.54
20101107,0.0,81.72,21.65,2.1
20101108,0.69,89.52,23.16,3.09
20101109,0.22,86.33,24.24,1.9
20101110,0.73,82.34,24.62,1.15
20101111,6.27,79.93,24.6,0.8
20101112,16.87,80.67,24.65,0.41
20101113,4.96,85.78,22.79,1.35
20101114,0.0,80.65,22.26,1.44
20101115,0.0,78.92,22.68,1.2
20101116,0.0,83.67,22.25,1.28
20101117,0.02,81.64,22.89,1.04
20101118,2.59,80.11,23.57,0.82
20101119,1.72,78.13,24.14,0.68
20101120,1.36,82.47,22.95,1.39
20101121,0.03,65.99,20.61,1.21
20101122,0.0,67.51,19.0,1.43
20101123,0.0,66.13,19.54,0.9
20101124,0.0,70.23,20.58,1.09
20101125,0.0,71.26,21.25,1.06
20101126,0.0,69.83,22.87,0.39
20101127,0.0,71.83,23.2,0.65
20101128,0.0,72.53,23.43,0.68
20101129,0.0,74.49,22.98,0.84
20101130,0.0,78.01,22.64,0.98
20101201,0.0,76.4,21.77,1.09
20101202,0.0,76.15,21.25,1.07
20101203,0.0,73.48,19.95,1.4
20101204,0.0,64.06,18.58,1.6
20101205,0.04,61.07,17.9,1.72
20101206,0.04,69.71,17.2,2.27
20101207,1.55,85.17,18.52,2.65
20101208,33.32,89.88,19.85,2.44
20101209,11.51,87.46,20.72,1.71
20101210,0.39,80.93,20.84,1.09
20101211,0.19,73.03,20.06,1.05
20101212,0.0,73.09,19.25,1.14
20101213,0.0,65.29,18.07,1.0
20101214,0.0,64.93,17.62,0.98
20101215,0.0,58.79,16.43,1.04
20101216,0.0,55.83,15.9,1.13
20101217,0.0,54.56,15.88,1.0
20101218,0.0,52.33,16.41,0.88
20101219,0.0,54.64,15.46,1.3
20101220,0.0,50.91,15.27,1.11
