Dates,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,Latitude,Longitude
20100101,0.0,50.1,28.27,10.18,18.08,2.77,6.34,21.25198332,75.25077264
20100102,0.05,51.97,30.45,11.23,19.22,5.23,6.85,21.25198332,75.25077264
20100103,0.2,56.17,30.89,13.74,17.15,2.28,4.08,21.25198332,75.25077264
20100104,0.0,64.08,28.69,15.84,12.85,1.54,4.89,21.25198332,75.25077264
20100105,0.0,55.26,28.62,11.94,16.68,1.67,5.83,21.25198332,75.25077264
20100106,0.0,44.7,28.49,10.04,18.45,2.52,6.66,21.25198332,75.25077264
20100107,0.0,45.66,29.45,9.85,19.6,2.37,6.03,21.25198332,75.25077264
20100108,0.0,41.77,29.68,11.07,18.61,2.83,6.43,21.25198332,75.25077264
20100109,0.0,44.0,30.02,12.1,17.92,2.73,5.58,21.25198332,75.25077264
20100110,0.0,47.8,30.86,13.2,17.66,2.38,6.05,21.25198332,75.25077264
20100111,0.6,62.81,30.83,16.31,14.51,3.48,5.54,21.25198332,75.25077264
20100112,4.18,66.31,30.5,18.02,12.49,2.35,5.23,21.25198332,75.25077264
20100113,0.0,46.72,27.33,13.28,14.05,2.87,2.97,21.25198332,75.25077264
20100114,0.0,44.17,27.71,8.83,18.88,2.24,5.7,21.25198332,75.25077264
20100115,0.0,47.27,29.24,9.29,19.95,2.71,6.88,21.25198332,75.25077264
20100116,0.0,46.72,29.71,10.79,18.92,3.49,7.75,21.25198332,75.25077264
20100117,0.0,45.06,30.02,12.85,17.17,3.22,7.44,21.25198332,75.25077264
20100118,0.0,38.69,29.95,11.18,18.77,2.82,6.58,21.25198332,75.25077264
20100119,0.0,33.03,30.88,10.81,20.07,2.8,6.93,21.25198332,75.25077264
20100120,0.0,31.54,31.0,11.21,19.79,2.54,5.51,21.25198332,75.25077264
20100121,0.0,27.56,30.67,12.0,18.67,1.09,4.48,21.25198332,75.25077264
20100122,0.0,26.01,31.04,11.58,19.46,1.99,5.32,21.25198332,75.25077264
20100123,0.0,24.79,31.19,11.46,19.73,2.26,5.52,21.25198332,75.25077264
20100124,0.0,25.77,31.55,12.02,19.52,2.84,5.52,21.25198332,75.25077264
20100125,0.0,27.12,31.21,12.25,18.96,2.51,6.38,21.25198332,75.25077264
20100126,0.0,30.72,30.85,12.2,18.65,1.92,5.81,21.25198332,75.25077264
20100127,0.0,30.98,30.7,12.64,18.06,2.16,5.1,21.25198332,75.25077264
20100128,0.0,28.9,31.24,13.46,17.79,2.92,6.21,21.25198332,75.25077264
20100129,0.0,31.42,30.9,13.71,17.19,2.79,5.6,21.25198332,75.25077264
20100130,0.0,33.08,31.42,14.1,17.32,2.58,4.71,21.25198332,75.25077264
20100131,0.0,30.88,32.05,15.7,16.35,2.28,5.07,21.25198332,75.25077264
20100201,0.0,29.68,31.69,14.67,17.02,2.17,4.25,21.25198332,75.25077264
20100202,0.0,30.48,31.94,15.26,16.67,2.44,5.26,21.25198332,75.25077264
20100203,0.42,36.18,32.26,15.72,16.54,3.29,6.59,21.25198332,75.25077264
20100204,0.31,38.03,33.13,18.32,14.81,3.7,5.28,21.25198332,75.25077264
20100205,0.0,40.64,32.97,19.44,13.53,5.46,6.49,21.25198332,75.25077264
20100206,0.0,38.56,33.36,17.08,16.28,3.93,4.08,21.25198332,75.25077264
