,PRECTOT,RH2M,T2M,WS2M
20100101,0.0,27.54,20.57,2.05
20100102,0.01,32.05,21.7,1.92
20100103,0.54,33.99,21.87,2.38
20100104,0.0,35.2,19.06,2.97
20100105,0.0,29.87,19.21,1.95
20100106,0.0,23.78,19.62,1.79
20100107,0.0,23.89,19.82,2.0
20100108,0.0,22.63,19.92,2.28
20100109,0.0,21.39,18.59,2.81
20100110,0.0,18.08,17.28,2.81
20100111,0.0,17.42,18.08,2.59
20100112,0.0,23.64,19.09,2.77
20100113,0.0,27.14,16.88,2.47
20100114,0.0,24.78,17.45,3.04
20100115,0.0,26.12,18.3,2.3
20100116,0.0,20.62,19.51,2.04
20100117,0.0,17.41,19.75,1.52
20100118,0.0,16.45,19.84,1.47
20100119,0.0,15.49,20.15,1.38
20100120,0.0,14.94,20.38,1.53
20100121,0.0,13.77,21.15,2.03
20100122,0.0,14.87,21.48,1.76
20100123,0.0,16.2,21.17,1.62
20100124,0.0,20.26,20.84,1.83
20100125,0.0,20.0,19.95,2.21
20100126,0.0,19.15,20.8,1.57
20100127,0.0,19.76,21.35,1.74
20100128,0.0,22.95,22.09,1.5
20100129,0.0,41.74,22.1,1.86
20100130,0.0,30.22,22.44,1.53
20100131,0.0,22.06,21.93,1.73
20100201,0.0,17.01,21.2,1.23
20100202,0.0,17.51,20.86,1.87
20100203,0.0,21.44,21.85,1.6
20100204,0.0,23.65,22.52,1.74
20100205,0.0,34.66,23.87,1.72
20100206,0.0,29.2,25.5,1.69
20100207,0.0,27.0,25.96,1.58
20100208,0.13,44.5,24.12,3.11
20100209,0.06,34.53,21.19,2.65
20100210,0.0,9.4,18.72,2.49
20100211,0.0,9.21,17.67,3.46
20100212,0.0,10.82,17.32,2.72
20100213,0.0,14.52,18.27,2.86
20100214,0.0,15.41,18.42,3.02
20100215,0.0,14.22,20.14,2.0
20100216,0.0,20.67,21.07,1.32
20100217,0.0,10.96,19.74,3.29
20100218,0.0,8.29,18.73,2.32
20100219,0.0,9.0,20.59,1.66
20100220,0.0,9.81,23.11,1.89
20100221,0.0,10.77,25.14,1.68
20100222,0.0,29.8,24.65,3.25
20100223,0.0,45.4,23.17,2.9
20100224,0.0,38.74,23.97,1.56
20100225,0.0,27.58,25.17,1.25
20100226,0.0,29.18,26.28,1.5
20100227,0.0,26.35,26.46,1.86
20100228,0.0,16.3,26.34,2.29
20100301,0.0,29.33,25.84,2.66
20100302,0.0,38.26,26.69,2.24
20100303,0.0,42.92,27.11,3.79
20100304,0.0,53.29,26.41,3.99
20100305,0.0,47.83,26.84,2.56
20100306,0.0,47.01,25.51,3.42
20100307,0.0,36.78,25.48,2.27
20100308,0.0,22.21,25.91,2.24
20100309,0.0,15.0,26.82,2.46
20100310,0.0,11.47,27.3,2.81
20100311,0.0,12.33,28.05,2.28
20100312,0.0,9.34,29.39,1.66
20100313,0.0,9.67,30.12,0.99
20100314,0.0,20.28,29.47,2.9
20100315,0.0,31.46,29.72,3.09
20100316,0.0,30.37,30.66,1.82
20100317,0.0,22.98,31.27,1.56
20100318,0.0,13.71,32.84,1.56
20100319,0.0,12.13,32.93,2.32
20100320,0.0,12.08,33.25,1.72
20100321,0.0,13.66,31.98,2.92
20100322,0.0,20.77,30.44,3.95
20100323,0.0,31.87,29.09,3.33
20100324,0.0,37.45,29.24,2.52
20100325,0.0,37.32,30.02,2.85
20100326,0.0,34.8,29.39,2.65
20100327,0.0,30.41,29.65,1.96
20100328,0.0,28.11,30.57,2.05
20100329,0.0,25.92,29.89,3.73
20100330,0.0,41.08,30.46,5.03
20100331,0.0,41.03,30.25,4.78
20100401,0.0,39.41,30.56,2.99
20100402,0.0,34.3,31.22,4.81
20100403,0.0,34.54,29.61,2.7
20100404,0.0,25.91,30.41,2.29
20100405,0.0,18.74,30.98,1.83
20100406,0.0,11.76,32.79,1.48
20100407,0.0,11.17,34.28,1.34
20100408,0.0,18.57,33.95,1.76
20100409,0.0,17.3,33.7,4.03
20100410,0.0,27.98,31.81,4.2
20100411,0.0,36.62,32.18,4.05
20100412,0.0,31.05,33.5,4.08
20100413,0.0,26.24,34.61,2.26
20100414,0.0,19.47,35.39,2.05
20100415,0.0,18.54,35.36,2.41
20100416,0.0,23.45,35.48,3.11
20100417,0.0,25.59,34.75,4.15
20100418,0.0,31.36,34.56,5.35
20100419,0.0,32.09,33.88,6.28
20100420,0.0,37.18,33.45,6.3
20100421,0.0,42.99,33.03,5.39
20100422,0.0,35.33,33.2,3.49
20100423,0.0,24.81,33.36,4.12
20100424,0.0,27.04,32.52,3.31
20100425,0.0,34.26,33.41,4.11
20100426,0.0,35.11,33.57,2.73
20100427,0.0,30.07,35.63,3.24
20100428,0.0,27.45,35.03,3.77
20100429,0.0,29.82,34.06,3.53
20100430,0.05,30.19,34.22,3.66
20100501,0.0,25.12,34.68,1.78
20100502,0.0,22.58,36.19,2.61
20100503,0.02,26.37,36.03,3.85
20100504,0.0,33.75,35.12,4.74
20100505,0.0,39.95,34.07,5.33
20100506,0.0,37.42,34.73,4.94
20100507,0.0,33.18,35.0,4.45
20100508,0.0,26.0,35.54,3.96
20100509,0.0,28.89,35.43,4.32
20100510,0.0,30.15,34.21,4.45
20100511,0.0,28.49,34.79,2.53
20100512,0.0,26.02,36.24,3.03
20100513,0.0,26.44,36.64,4.7
20100514,0.0,33.53,35.06,5.25
20100515,0.0,38.23,35.12,4.5
20100516,0.0,38.15,35.33,4.51
20100517,0.0,35.31,35.66,5.06
20100518,0.0,31.91,35.01,3.82
20100519,0.0,25.97,37.31,3.2
20100520,0.0,23.65,38.53,2.94
20100521,0.0,25.27,38.78,4.17
20100522,0.0,26.88,38.29,4.82
20100523,0.0,27.44,37.53,5.95
20100524,0.0,36.77,36.29,6.69
20100525,0.0,43.96,35.1,7.4
20100526,0.0,49.57,34.65,8.13
20100527,0.0,46.45,34.72,8.08
20100528,0.0,46.79,35.0,8.04
20100529,0.0,44.76,34.72,7.03
20100530,0.0,42.09,34.66,5.32
20100531,0.0,38.62,34.73,5.21
20100601,0.0,40.7,35.31,4.67
20100602,0.49,44.69,35.25,5.67
20100603,0.18,45.25,34.31,5.5
20100604,0.0,47.79,34.52,6.93
20100605,0.29,47.87,34.34,6.74
20100606,25.74,60.4,32.29,6.62
20100607,16.32,63.43,31.28,6.84
20100608,0.61,58.3,31.54,3.75
20100609,0.0,54.82,32.01,2.77
20100610,0.0,53.1,32.84,2.55
20100611,0.0,48.61,33.81,3.26
20100612,0.0,44.34,34.67,4.64
20100613,0.0,47.42,33.43,4.33
20100614,0.96,56.26,32.92,4.46
20100615,4.23,60.41,32.29,2.38
20100616,4.94,55.28,32.84,2.28
20100617,0.53,51.2,33.72,2.99
20100618,0.0,48.8,34.07,4.28
20100619,0.0,46.04,35.38,4.99
20100620,0.0,46.63,34.79,4.78
20100621,0.0,51.24,34.16,5.73
20100622,0.22,57.99,33.52,6.5
20100623,0.21,59.77,33.31,6.11
20100624,0.04,56.84,33.88,5.86
20100625,0.14,55.2,34.31,3.59
20100626,1.2,47.78,35.71,4.07
20100627,1.17,46.28,35.98,4.87
20100628,0.03,46.63,35.4,6.19
20100629,0.0,48.26,34.86,6.6
20100630,0.0,49.21,34.44,6.38
20100701,0.0,46.9,35.06,4.99
20100702,5.56,51.22,33.95,3.64
20100703,8.82,53.04,33.87,3.86
20100704,38.61,71.05,30.62,2.56
20100705,15.82,78.39,29.75,2.11
20100706,6.91,75.49,30.07,2.2
20100707,5.13,74.53,30.0,2.89
20100708,17.94,75.48,30.68,3.36
20100709,1.88,70.15,31.25,3.33
20100710,7.5,74.13,30.95,4.69
20100711,0.27,70.88,30.68,6.39
20100712,0.58,68.2,30.85,6.75
20100713,0.18,68.59,31.07,5.16
20100714,4.67,68.46,31.14,3.91
20100715,3.52,67.05,31.47,3.33
20100716,1.67,68.99,31.12,2.92
20100717,6.12,73.4,30.75,3.2
20100718,0.41,72.6,31.22,2.42
20100719,8.03,76.51,30.82,3.73
20100720,0.96,73.07,31.06,2.77
20100721,13.38,75.45,30.66,2.5
20100722,34.02,77.56,30.15,2.77
20100723,16.96,83.91,28.0,4.0
20100724,18.78,79.94,29.09,4.78
20100725,33.31,84.33,28.12,4.31
20100726,22.98,87.84,27.66,4.02
20100727,5.76,83.66,28.62,3.43
20100728,0.61,77.87,29.31,4.01
20100729,12.28,79.37,29.27,2.88
20100730,2.03,78.21,29.11,2.36
20100731,20.32,82.79,28.7,1.18
20100801,35.33,86.12,28.21,1.71
20100802,28.99,89.58,27.58,2.4
20100803,37.27,91.19,27.28,5.75
20100804,17.67,89.18,27.42,5.61
20100805,1.18,82.51,28.45,4.07
20100806,2.88,84.22,28.23,2.77
20100807,55.38,87.56,27.16,3.28
20100808,32.92,88.64,28.26,3.2
20100809,2.89,89.87,27.37,5.03
20100810,4.86,84.06,28.34,3.23
20100811,2.12,84.23,28.9,3.17
20100812,0.78,86.94,28.62,2.27
20100813,1.02,86.75,27.98,1.91
20100814,0.62,87.64,27.62,2.02
20100815,6.33,84.33,28.64,1.88
20100816,1.77,84.26,28.94,2.0
20100817,0.13,85.55,28.4,2.17
20100818,15.89,85.41,28.61,2.4
20100819,1.84,86.08,28.21,2.69
20100820,3.01,84.62,28.45,3.11
20100821,1.21,85.89,27.92,3.26
20100822,1.61,84.97,27.8,3.65
20100823,1.31,84.18,28.49,3.94
20100824,0.98,83.71,28.44,3.69
20100825,1.48,80.83,28.94,1.9
20100826,15.58,82.51,28.79,1.87
20100827,14.88,82.01,29.32,2.07
20100828,13.47,78.06,29.97,0.92
20100829,28.98,80.73,29.76,1.9
20100830,8.27,84.8,28.47,2.4
20100831,11.81,89.49,27.96,2.53
20100901,28.4,86.51,28.38,2.79
20100902,1.54,87.59,27.84,3.08
20100903,3.79,85.29,28.88,2.98
20100904,2.68,90.69,27.53,2.75
20100905,2.89,86.91,27.83,1.73
20100906,2.44,84.31,28.37,1.44
20100907,5.16,84.89,28.25,2.17
20100908,8.63,89.21,27.06,1.89
20100909,29.44,89.38,26.76,2.0
20100910,15.5,91.7,26.72,2.75
20100911,17.06,88.96,27.68,4.22
20100912,7.52,86.58,27.94,3.71
20100913,11.3,85.12,27.77,2.89
20100914,1.83,84.55,27.8,2.54
20100915,4.84,76.46,28.81,1.45
20100916,4.48,80.59,28.36,1.79
20100917,0.19,79.89,27.96,2.22
20100918,0.0,80.3,27.14,2.07
20100919,0.0,75.04,27.2,1.38
20100920,0.0,75.28,27.53,1.87
20100921,0.0,75.61,27.91,1.93
20100922,0.0,72.65,27.29,2.09
20100923,0.0,77.59,26.8,1.83
20100924,0.0,66.7,26.2,1.39
20100925,0.0,67.75,26.24,1.09
20100926,0.0,64.1,27.17,1.23
20100927,0.0,66.35,27.94,1.43
20100928,0.0,71.13,28.4,1.51
20100929,3.29,77.72,27.98,0.97
20100930,0.22,74.99,27.94,1.48
20101001,0.0,69.65,27.93,1.35
20101002,0.0,69.15,28.33,1.45
20101003,0.0,71.35,28.49,1.25
20101004,0.0,68.04,28.64,0.98
20101005,0.0,66.61,29.17,1.03
20101006,0.0,65.42,28.36,1.72
20101007,0.0,59.99,27.67,0.93
20101008,0.0,61.37,27.19,1.44
20101009,0.0,72.91,26.52,2.16
20101010,0.29,79.51,26.63,2.69
20101011,2.46,77.89,27.02,1.68
20101012,1.78,70.09,27.54,0.62
20101013,0.0,68.24,28.03,0.91
20101014,0.0,67.45,28.43,1.03
20101015,0.0,59.77,29.0,0.94
20101016,0.0,61.68,28.18,1.73
20101017,0.0,59.34,27.31,1.61
20101018,0.02,69.17,27.85,1.66
20101019,0.07,69.4,28.8,1.7
20101020,0.22,66.24,28.99,1.68
20101021,0.0,57.94,29.05,0.85
20101022,0.0,63.14,26.96,2.18
20101023,0.21,74.55,25.73,1.98
20101024,0.52,65.36,25.93,1.11
20101025,0.0,59.76,26.39,1.22
20101026,0.0,53.96,26.84,0.85
20101027,0.0,48.3,27.78,0.89
20101028,0.0,48.19,27.8,0.98
20101029,0.2,53.11,26.78,0.96
20101030,0.0,62.12,24.8,2.4
20101031,0.0,56.39,24.44,2.41
20101101,0.0,56.69,24.27,1.8
20101102,0.0,56.75,24.18,1.56
20101103,0.0,54.39,23.81,1.77
20101104,0.0,45.26,25.02,1.17
20101105,0.0,48.19,25.18,1.04
20101106,0.0,47.04,25.19,1.4
20101107,0.0,54.53,23.25,2.15
20101108,0.0,58.96,22.94,2.91
20101109,0.72,70.72,26.14,3.08
20101110,1.47,81.11,26.25,1.74
20101111,15.35,83.43,25.39,2.5
20101112,5.14,84.99,25.31,2.71
20101113,4.62,73.63,26.0,0.89
20101114,5.71,68.21,25.77,1.25
20101115,2.53,68.09,25.55,1.89
20101116,9.65,67.9,25.08,1.77
20101117,8.3,74.73,24.08,2.0
20101118,0.2,69.0,23.82,2.29
20101119,0.0,55.99,22.05,1.78
20101120,0.0,49.69,21.04,1.63
20101121,0.05,49.53,22.48,1.01
20101122,12.39,77.34,22.42,1.58
20101123,7.02,83.91,21.35,2.55
20101124,1.41,80.91,22.3,2.71
20101125,0.0,71.83,21.94,2.65
20101126,0.0,61.88,20.19,2.0
20101127,0.0,54.8,19.17,1.77
20101128,0.0,56.83,18.93,1.88
20101129,0.0,65.87,20.65,2.07
20101130,0.0,61.35,20.49,2.09
20101201,0.0,53.8,19.87,1.41
20101202,0.0,59.85,19.29,2.42
20101203,0.0,62.71,19.14,2.01
20101204,0.0,61.34,18.41,1.7
20101205,0.0,62.87,18.92,1.87
20101206,0.0,62.95,19.7,1.93
20101207,0.0,62.03,19.15,2.04
20101208,0.0,54.19,17.37,2.37
20101209,0.0,51.25,15.48,2.42
20101210,0.0,49.72,14.36,2.48
20101211,0.0,42.58,14.73,1.71
20101212,0.0,50.25,15.2,1.23
20101213,0.0,66.47,18.12,1.57
20101214,0.0,58.59,17.94,1.28
20101215,0.0,51.92,17.31,1.32
20101216,0.0,47.73,18.04,1.1
20101217,0.0,44.21,18.64,1.13
20101218,0.0,41.73,18.31,1.22
20101219,0.0,44.84,16.89,1.86
20101220,0.0,48.07,16.6,1.72
20101221,0.0,40.39,17.71,1.23
20101222,0.0,59.74,17.06,1.72
20101223,0.0,60.84,19.06,1.47
20101224,0.0,49.29,17.8,1.71
20101225,0.0,45.67,15.18,2.26
20101226,0.0,45.32,15.71,1.62
20101227,0.0,52.7,16.4,2.01
20101228,0.67,62.18,19.11,1.66
20101229,0.23,67.79,19.53,1.46
20101230,0.0,56.18,16.42,2.15
20101231,0.0,45.46,15.55,1.11
20110101,0.0,42.96,14.54,1.91
20110102,0.0,43.33,14.03,1.7
20110103,0.0,44.36,14.11,2.15
20110104,0.0,43.88,14.51,2.4
20110105,0.0,43.26,13.95,2.33
20110106,0.0,48.19,14.26,1.91
20110107,0.0,44.44,15.02,1.6
20110108,0.0,39.21,14.49,1.5
20110109,0.0,38.54,13.79,2.91
20110110,0.0,42.8,13.46,2.17
20110111,0.0,38.54,15.42,1.23
20110112,0.0,45.4,18.48,1.12
20110113,0.0,68.22,19.4,1.93
20110114,0.0,66.3,18.57,2.65
20110115,0.0,40.76,14.73,1.93
20110116,0.0,29.99,13.76,2.01
20110117,0.0,32.25,15.92,1.61
20110118,0.0,54.1,17.74,1.67
20110119,0.0,37.63,17.07,2.18
20110120,0.0,34.17,17.96,1.31
20110121,0.0,37.81,20.06,1.22
20110122,0.0,45.98,20.55,1.16
20110123,0.0,50.66,19.1,1.63
20110124,0.0,45.54,18.79,1.94
20110125,0.0,39.47,17.59,2.37
20110126,0.0,31.49,16.4,3.36
20110127,0.0,34.49,15.86,2.99
20110128,0.0,36.22,16.2,2.35
20110129,0.0,44.33,18.56,1.77
20110130,0.0,44.27,19.35,2.4
20110131,0.0,39.1,18.79,3.21
20110201,0.0,39.3,19.18,2.37
20110202,0.0,34.87,20.84,1.78
20110203,0.0,30.21,22.62,1.31
20110204,0.0,34.1,22.85,1.49
20110205,0.0,50.95,20.9,2.0
20110206,0.0,59.9,20.49,3.0
20110207,0.0,62.46,22.21,3.27
20110208,0.0,49.71,21.55,1.22
20110209,0.0,25.24,19.56,2.01
20110210,0.0,22.83,20.71,1.83
20110211,0.0,26.53,22.26,1.87
20110212,0.0,28.72,23.13,2.12
