date,09-05-18,19-05-18,29-05-18,18-06-18,26-10-18,25-11-18,25-12-18,04-01-19,14-01-19,24-01-19,03-02-19,13-02-19,23-02-19,15-03-19,25-03-19,04-04-19,14-04-19,24-04-19,14-05-19,24-05-19,10-11-19,30-12-19,19-01-20,29-01-20,08-02-20,18-02-20,28-02-20,09-03-20,19-03-20,29-03-20,08-04-20,18-04-20,28-05-20,07-07-20,17-07-20,31-08-20,25-09-20,25-10-20,30-10-20,09-11-20,14-12-20,24-12-20,29-12-20,18-01-21,23-01-21,28-01-21,02-02-21,07-02-21,12-02-21,17-02-21,27-02-21,04-03-21,09-03-21,14-03-21,03-04-21,03-05-21
"MULTIPOLYGON (((866771.477990848 1531373.61415218,866752.691180507 1531379.09180564,866759.622570536 1531396.59059531,866767.843133348 1531390.20242251,866773.120763156 1531382.86493335,866771.477990848 1531373.61415218)))",0.911533356,0.856400371,0.129007876,0.719698131,0.801091671,0.709945858,0.60799098,1.082900643,0.851591468,1.153723001,1.225826502,1.292696595,1.22919178,0.421395361,0.368557751,0.424076617,0.39602074,0.399047405,0.326266021,0.207631096,0.864088356,1.171109438,0.49805963,1.305932641,1.294426322,1.211910725,0.844891846,0.965051413,0.456042051,0.659984589,0.288468301,0.589494407,0.41637066,0.849427938,1.026340604,0.394757539,0.933386147,1.415649295,1.172141075,1.291370511,1.056615353,0.964079857,0.95782721,0.99441576,0.925938666,0.985976875,0.948957086,0.757850051,1.024253249,0.773736656,0.700636923,0.870338678,0.988186836,1.051017642,1.084719181,0.929097891
"MULTIPOLYGON (((866781.722681178 1531359.99366804,866749.005949695 1531369.78819105,866752.691180507 1531379.09180564,866771.477990848 1531373.61415218,866786.768902424 1531368.99012879,866781.722681178 1531359.99366804)))",0.6865585,0.664828241,0.129131777,0.5374512,0.871412426,0.532744996,0.538448781,0.830088258,0.792528838,0.908118546,1.096314371,0.945275351,0.976210967,0.399970077,0.366305128,0.391706869,0.364566885,0.353987999,0.289365351,0.202511132,0.84107323,1.16588822,0.448205046,1.147338152,1.033754617,1.044385806,0.644737229,0.70209603,0.486098379,0.534480438,0.202680998,0.466220371,0.346479438,0.568091393,0.944211781,0.386054993,1.3888053,1.427550197,1.237807333,1.356680751,1.097189963,1.023582175,0.991974384,0.973321423,0.965156853,0.926082402,0.834731564,0.63416031,0.818368569,0.625711977,0.586602569,0.758102149,0.911592349,0.88054359,0.822811127,0.52996365
"MULTIPOLYGON (((866758.429788906 1531345.14169659,866773.026379233 1531340.03313068,866766.404112627 1531324.83313645,866754.970720232 1531328.45292974,866758.429788906 1531345.14169659)))",1.311639786,1.164934158,0.191822529,1.027133703,0.836739123,0.592914879,0.932686031,1.302770019,0.565286338,0.509540617,0.589335501,0.677700162,0.601225734,0.388634652,0.341647059,0.379433751,0.355879009,0.346260756,0.26014176,0.219330385,1.199155569,1.15054667,0.498773426,0.89850831,1.122086525,1.599300861,1.408839107,1.370230198,1.356876969,1.054939389,0.247678921,0.75333333,0.541057229,0.929905593,0.842075706,0.378835171,1.665724039,1.192311764,1.17510879,1.345941067,1.111214161,0.95381242,0.94882226,0.917589307,0.916425526,0.941245615,0.817149222,0.87206614,0.844410658,0.850281417,0.657151639,0.698181868,0.711924434,0.591294408,0.763831377,0.842375636
"MULTIPOLYGON (((866780.789249043 1531312.35196799,866805.605021894 1531301.94156376,866802.725270955 1531291.21435037,866801.019299655 1531291.7414606,866776.76237079 1531303.19691345,866780.789249043 1531312.35196799)))",0.978590031,0.827821672,0.076035383,0.93948555,1.093286077,0.538160741,0.849468867,0.887320777,0.884449383,0.908190429,1.007944643,1.070483208,1.138082385,0.821934323,0.594735215,0.645594319,0.510753284,0.626780868,0.521924973,0.251745661,1.086757143,1.35037744,0.248126263,0.848896603,0.820244809,0.828441322,0.759964069,0.798885723,0.79031533,0.877756516,0.232989778,0.619524201,0.674523334,0.951197326,1.316444874,0.446705341,1.663766185,1.493387143,1.288268765,1.304540515,0.928359787,1.105865757,0.988413215,1.007915397,1.169619719,0.868552168,0.964484215,0.901591122,1.05384326,0.756520609,0.686790824,0.92282025,0.993004163,1.245527069,1.118527273,0.716900766
"MULTIPOLYGON (((866741.543102166 1531349.90212734,866758.429788906 1531345.14169659,866754.970720232 1531328.45292974,866744.246326793 1531323.76288992,866734.290838916 1531327.40362751,866741.543102166 1531349.90212734)))",1.036906254,0.970636332,0.121880457,0.950843191,0.9281394,0.783114493,1.039555442,1.381620979,1.418816328,1.229353905,1.186232448,0.925833559,0.915185618,0.648294604,0.575485653,0.597276092,0.589096838,0.545626336,0.403845549,0.25270083,1.138048005,1.272015357,0.357666147,0.937386429,1.063941991,1.34422152,1.223974347,1.210881567,1.444590044,1.397285461,0.264631554,0.731704473,0.674823272,0.834644818,1.026838648,0.421257013,1.663253403,1.174319267,1.183642197,1.291961503,1.075375009,1.271603775,1.258878016,1.166540003,1.10573771,1.135068965,1.077504265,1.120987701,1.164137304,1.058099389,0.789432871,0.864935851,0.95526197,0.822913396,0.798891687,0.658736324
"MULTIPOLYGON (((866773.026379233 1531340.03313068,866758.429788906 1531345.14169659,866741.543102166 1531349.90212734,866743.353038861 1531355.51705408,866749.005949695 1531369.78819105,866781.722681178 1531359.99366804,866773.026379233 1531340.03313068)))",0.950919705,0.763833872,0.150436376,0.754240943,1.074420818,0.668770237,0.816335721,0.875359263,0.730160428,0.641936268,0.696405636,0.694218018,0.709597026,0.497299254,0.45134495,0.501121512,0.462573694,0.478361913,0.377277642,0.234713129,0.989162062,1.399468166,0.486894548,0.962370413,0.915627463,0.963066041,0.83966354,0.786749567,0.831774873,0.776895991,0.234628854,0.57347772,0.513229864,0.720009957,1.091439409,0.383336084,1.606767774,1.46061446,1.314467975,1.358750446,1.104784574,1.228575076,1.17862348,1.16178533,1.089414767,1.075495388,1.045139926,0.981252168,1.078355891,0.854530071,0.760918115,0.894309989,0.975844494,0.984706708,0.897709004,0.569163544
"MULTIPOLYGON (((866763.726775791 1531313.76363918,866779.207348314 1531308.75553645,866776.76237079 1531303.19691345,866770.313215275 1531288.88611351,866758.584227046 1531292.50172161,866763.726775791 1531313.76363918)))",0.992220898,0.813746194,0.097287911,0.872732699,1.145410776,0.736792703,0.843020578,1.137928089,0.872439444,0.750567933,0.742555281,0.796794395,0.850329896,0.622293313,0.584448755,0.571361303,0.522128612,0.577949762,0.47603328,0.261733448,1.143923481,1.366862933,0.277060866,0.93660448,0.908330361,0.963712553,0.784586012,0.827779432,0.84279414,0.886387408,0.270084371,0.639103015,0.697048465,1.107730667,1.470142285,0.475725164,1.63058869,1.418524305,1.256177147,1.22386694,0.887423972,1.05909725,1.008327762,0.95975709,1.011671523,0.943731407,0.949792465,0.949902217,1.068670313,0.883282542,0.72293365,0.821764946,0.890988151,0.825612307,0.778089225,0.543499251
"MULTIPOLYGON (((866804.549659511 1531336.77636929,866793.32769217 1531340.85801307,866801.948525923 1531360.45745899,866810.736633123 1531357.07678927,866804.549659511 1531336.77636929)))",0.886395425,0.65035823,0.128772352,0.7098234,1.094056368,0.586779729,0.547323883,0.661111265,0.816126436,0.718959987,0.740224242,0.722725451,0.784835041,0.487591177,0.471074536,0.418390036,0.417121962,0.413032636,0.306401521,0.208621189,0.879356116,1.191720784,0.331545904,0.719056338,0.697153509,0.913642317,0.787464976,0.975428402,1.174765646,1.266923547,0.207761899,0.89450559,0.543454081,0.938921988,1.337820351,0.339616865,1.649018109,1.495439827,1.356689334,1.354653776,1.109288692,1.069753975,1.09279716,1.111510515,0.982717961,1.065107107,1.007805109,0.876629889,0.74261862,0.800002843,0.680859178,0.867339998,1.082150608,1.090730309,1.072854042,0.579677314
"MULTIPOLYGON (((866793.32769217 1531340.85801307,866776.113571695 1531347.11912842,866781.722681178 1531359.99366804,866799.738040907 1531361.30780419,866801.948525923 1531360.45745899,866793.32769217 1531340.85801307)))",0.60999018,0.547238469,0.147893269,0.509997636,0.907007813,0.533319294,0.533219889,0.660299733,0.572112285,0.508996144,0.549508199,0.503152594,0.516118154,0.345813848,0.312604614,0.310601681,0.335685968,0.301556513,0.262981862,0.197368007,0.926544949,1.304332346,0.343593784,0.846176431,0.717763931,0.746570751,0.619170949,0.624989018,0.779729515,0.740814745,0.218083758,0.631202817,0.393176474,0.879211232,1.371706843,0.343956135,1.47920981,1.492030829,1.344975919,1.361997753,0.947768524,1.006193608,1.073731601,0.92983827,0.781323805,0.965467662,0.850879744,0.750862494,0.732507139,0.679902956,0.601093575,0.714217469,0.874908,0.925704136,0.982236475,0.573275641
"MULTIPOLYGON (((866789.664510541 1531332.529791,866773.026379233 1531340.03313068,866776.113571695 1531347.11912842,866793.32769217 1531340.85801307,866789.664510541 1531332.529791)))",0.683986306,0.557069123,0.081922591,0.537425101,0.859148622,0.486788541,0.536509693,0.51049155,0.539790154,0.566183627,0.51665777,0.512523055,0.477520913,0.310339898,0.328286111,0.289098263,0.297187686,0.26983729,0.233816847,0.196840823,1.065399885,1.269135833,0.473567009,0.743532419,0.695010126,0.670847595,0.608458936,0.602067947,0.713427246,0.580561519,0.197781295,0.526761234,0.394448131,0.875821352,1.471170068,0.363047808,1.542580128,1.470946789,1.255836248,1.243401766,0.782249391,0.710372508,0.651304066,0.744747102,0.680232584,0.67287451,0.574390233,0.545022845,0.480147749,0.47663343,0.504397988,0.54137212,0.709459484,0.660536885,0.606559932,0.667530954
