date,09-05-18,19-05-18,29-05-18,18-06-18,26-10-18,25-11-18,25-12-18,04-01-19,14-01-19,24-01-19,03-02-19,13-02-19,23-02-19,15-03-19,25-03-19,04-04-19,14-04-19,24-04-19,14-05-19,24-05-19,10-11-19,30-12-19,19-01-20,29-01-20,08-02-20,18-02-20,28-02-20,09-03-20,19-03-20,29-03-20,08-04-20,18-04-20,28-05-20,07-07-20,17-07-20,31-08-20,25-09-20,25-10-20,30-10-20,09-11-20,14-12-20,24-12-20,29-12-20,18-01-21,23-01-21,28-01-21,02-02-21,07-02-21,12-02-21,17-02-21,27-02-21,04-03-21,09-03-21,14-03-21,03-04-21,03-05-21
"MULTIPOLYGON (((866771.477990848 1531373.61415218,866752.691180507 1531379.09180564,866759.622570536 1531396.59059531,866767.843133348 1531390.20242251,866773.120763156 1531382.86493335,866771.477990848 1531373.61415218)))",0.379889488,0.356919378,0.053758923,0.299949676,0.333879322,0.2958951,0.253401369,0.451343298,0.354928017,0.480834544,0.510874391,0.538749695,0.512297213,0.17562224,0.153600723,0.176738888,0.165044338,0.166305766,0.13597478,0.086530611,0.360147387,0.488083422,0.207573965,0.544267714,0.539470613,0.505088091,0.352126867,0.402203172,0.190072998,0.27506426,0.120218582,0.245683283,0.173532441,0.354018301,0.427737892,0.164503872,0.389064968,0.590022922,0.488532096,0.53823179,0.440369338,0.401848435,0.399245292,0.414482772,0.385940731,0.410963565,0.395520091,0.315882564,0.426925838,0.322509229,0.292035401,0.362765223,0.411885947,0.438072622,0.452093273,0.387288123
"MULTIPOLYGON (((866781.722681178 1531359.99366804,866749.005949695 1531369.78819105,866752.691180507 1531379.09180564,866771.477990848 1531373.61415218,866786.768902424 1531368.99012879,866781.722681178 1531359.99366804)))",0.286130484,0.277079441,0.053810534,0.223994091,0.363187104,0.222045764,0.224417441,0.345969021,0.33031404,0.378481336,0.456906483,0.393964656,0.406860642,0.166693695,0.152662538,0.163247976,0.151935739,0.14752724,0.120596314,0.084396822,0.350553848,0.485909991,0.186794866,0.478176139,0.430840097,0.43527092,0.26870789,0.292612612,0.202596486,0.222754467,0.08446672,0.194305394,0.144401919,0.236766987,0.393507265,0.160876617,0.578844406,0.594974265,0.515894681,0.56544964,0.457281537,0.426632963,0.413463481,0.405682735,0.402277932,0.385994002,0.34790951,0.264330205,0.341106601,0.260809138,0.244507659,0.315989308,0.379968897,0.367012814,0.342928357,0.220936552
"MULTIPOLYGON (((866758.429788906 1531345.14169659,866773.026379233 1531340.03313068,866766.404112627 1531324.83313645,866754.970720232 1531328.45292974,866758.429788906 1531345.14169659)))",0.546632648,0.485497534,0.079934746,0.428077966,0.348736078,0.247124657,0.388724029,0.542958796,0.235605165,0.212371141,0.245623633,0.282450944,0.250574708,0.161971837,0.142386436,0.158133209,0.148316652,0.144307151,0.108417198,0.091406912,0.499765366,0.479528874,0.207870364,0.374487996,0.467665821,0.666520953,0.587140441,0.57104665,0.565493762,0.439653307,0.103218645,0.313955963,0.225494936,0.387562305,0.350946933,0.157868028,0.694220901,0.496929228,0.489754111,0.560975611,0.463125318,0.397530854,0.395448446,0.382433176,0.381952316,0.392300904,0.340573668,0.363461018,0.351926982,0.354394734,0.273897052,0.290998757,0.29672277,0.246442795,0.318344414,0.351177722
"MULTIPOLYGON (((866780.789249043 1531312.35196799,866805.605021894 1531301.94156376,866802.725270955 1531291.21435037,866801.019299655 1531291.7414606,866776.76237079 1531303.19691345,866780.789249043 1531312.35196799)))",0.40783746,0.345009416,0.031684478,0.391545713,0.455655982,0.224315594,0.354049663,0.369835456,0.368629654,0.37852187,0.420095911,0.446159164,0.474326283,0.342555076,0.247865116,0.269060915,0.212861255,0.261220535,0.217521071,0.104915818,0.452933828,0.562812398,0.103402627,0.353816628,0.341867904,0.345286141,0.316735437,0.332953225,0.329385757,0.36582316,0.097095961,0.25819549,0.28112028,0.396428615,0.548639248,0.186153144,0.693423529,0.622410178,0.536922276,0.543732305,0.386914263,0.460927914,0.411971847,0.42008848,0.487486988,0.362007409,0.401982745,0.375795404,0.439258983,0.315335006,0.28626436,0.38464426,0.413900107,0.51914685,0.466180762,0.298889647
"MULTIPOLYGON (((866741.543102166 1531349.90212734,866758.429788906 1531345.14169659,866754.970720232 1531328.45292974,866744.246326793 1531323.76288992,866734.290838916 1531327.40362751,866741.543102166 1531349.90212734)))",0.432143396,0.404528236,0.050788671,0.396284539,0.386825889,0.326392585,0.433258617,0.575827324,0.591315806,0.51235736,0.494388145,0.385868198,0.381422943,0.270185766,0.239840189,0.248919722,0.245510176,0.227396005,0.168308499,0.105313818,0.474301398,0.530148119,0.149059696,0.390687561,0.443428779,0.560230666,0.510105222,0.504646003,0.60205127,0.582330775,0.110285097,0.304945821,0.281244963,0.347861168,0.427949584,0.175546882,0.693181586,0.489431101,0.493311536,0.538476855,0.448183978,0.529992419,0.524690437,0.486198485,0.460857695,0.473086244,0.449086887,0.467216212,0.485199344,0.441010052,0.32903173,0.360500103,0.398146409,0.342978537,0.33295927,0.274627346
"MULTIPOLYGON (((866773.026379233 1531340.03313068,866758.429788906 1531345.14169659,866741.543102166 1531349.90212734,866743.353038861 1531355.51705408,866749.005949695 1531369.78819105,866781.722681178 1531359.99366804,866773.026379233 1531340.03313068)))",0.396308094,0.318343375,0.06268837,0.314347708,0.447795072,0.278741507,0.340236436,0.364845957,0.304320097,0.267549645,0.290250914,0.289341177,0.29574595,0.20726003,0.188105848,0.208850391,0.192783094,0.199364493,0.15723679,0.097817383,0.412265697,0.583268634,0.202918391,0.401105825,0.381619211,0.401384941,0.349947006,0.327893029,0.346663228,0.323785231,0.097780849,0.239005361,0.21389951,0.300085704,0.454862978,0.159743777,0.669658303,0.608744749,0.547836959,0.566315957,0.460446996,0.512065777,0.491249076,0.484225358,0.454060491,0.448265948,0.435606437,0.408989591,0.449455721,0.356169128,0.317150716,0.372743985,0.406722741,0.410413538,0.374142485,0.237288664
"MULTIPOLYGON (((866763.726775791 1531313.76363918,866779.207348314 1531308.75553645,866776.76237079 1531303.19691345,866770.313215275 1531288.88611351,866758.584227046 1531292.50172161,866763.726775791 1531313.76363918)))",0.413515727,0.339142124,0.040540711,0.363724649,0.477377206,0.307094768,0.351357023,0.474270165,0.363628934,0.312829057,0.309486647,0.332092891,0.354396284,0.259353066,0.243578653,0.238120069,0.217600062,0.240866303,0.198392982,0.109077853,0.476751308,0.569690863,0.115466282,0.390367607,0.378578107,0.40165169,0.326995283,0.344995131,0.35126093,0.369417538,0.112556073,0.266354938,0.290504207,0.461669316,0.612694462,0.198247055,0.679599822,0.591211001,0.52354453,0.510122895,0.36985746,0.441432108,0.420265228,0.400025169,0.421662519,0.393343141,0.39586396,0.395911843,0.445405612,0.368141443,0.301309799,0.342497965,0.371346901,0.344102293,0.324287375,0.22659345
"MULTIPOLYGON (((866804.549659511 1531336.77636929,866793.32769217 1531340.85801307,866801.948525923 1531360.45745899,866810.736633123 1531357.07678927,866804.549659511 1531336.77636929)))",0.3694188,0.27105166,0.053660912,0.295832917,0.455971584,0.244573176,0.228117786,0.275542036,0.340163305,0.299665526,0.308522984,0.301225007,0.327106744,0.203218348,0.19633159,0.174371421,0.173842348,0.172138408,0.127698381,0.086943638,0.366511494,0.496696562,0.138170328,0.299708739,0.290574044,0.380794689,0.328201964,0.406536162,0.489624232,0.528019965,0.086581867,0.372802719,0.226498052,0.391320691,0.557562351,0.141524598,0.687284976,0.623265058,0.565436572,0.564617306,0.462332666,0.445900559,0.455508322,0.463296726,0.409620956,0.4439587,0.420069546,0.365410402,0.309564352,0.333465233,0.283800021,0.361532941,0.451064751,0.454639256,0.447162837,0.241692454
"MULTIPOLYGON (((866793.32769217 1531340.85801307,866776.113571695 1531347.11912842,866781.722681178 1531359.99366804,866799.738040907 1531361.30780419,866801.948525923 1531360.45745899,866793.32769217 1531340.85801307)))",0.254222486,0.228074208,0.061628895,0.212552302,0.378016032,0.222292174,0.222237285,0.275205962,0.23844555,0.212140776,0.22902501,0.209704395,0.215103246,0.144124541,0.130283002,0.129447589,0.139900802,0.12567622,0.109600684,0.082253488,0.38617564,0.543628722,0.143194335,0.352684766,0.299156718,0.311151467,0.258051377,0.260476194,0.324968956,0.30874395,0.090884048,0.263061713,0.16386155,0.366425551,0.571667984,0.143332459,0.616552383,0.621842623,0.560553595,0.567677125,0.395006962,0.41939652,0.447549455,0.38757284,0.325670473,0.40242511,0.35465616,0.312981561,0.305336937,0.28340441,0.250551399,0.297705829,0.364684962,0.385850765,0.409385577,0.239010002
"MULTIPOLYGON (((866789.664510541 1531332.529791,866773.026379233 1531340.03313068,866776.113571695 1531347.11912842,866793.32769217 1531340.85801307,866789.664510541 1531332.529791)))",0.285059571,0.232169211,0.034138042,0.223980814,0.358067721,0.202898547,0.223607644,0.212765962,0.224973083,0.23597315,0.215331376,0.213607594,0.19901599,0.129339039,0.136817649,0.120484628,0.123855211,0.112455666,0.09744478,0.082033627,0.444033802,0.528962076,0.197360277,0.309904158,0.289671093,0.279588342,0.253586203,0.250923425,0.297340423,0.241958708,0.082423389,0.219534889,0.164389595,0.365011811,0.613110781,0.151288763,0.642949522,0.613061249,0.523404241,0.518252909,0.32602042,0.296073377,0.271466315,0.31041193,0.283512652,0.280458987,0.239402249,0.227162004,0.200123146,0.198670611,0.210241616,0.225649908,0.295708001,0.275308639,0.252797544,0.278301895
