date,2018-05-09,2018-05-19,2018-05-29,2018-06-18,2018-10-26,2018-11-25,2018-12-25,2019-01-04,2019-01-14,2019-01-24,2019-02-03,2019-02-13,2019-02-23,2019-03-15,2019-03-25,2019-04-04,2019-04-14,2019-04-24,2019-05-14,2019-05-24,2019-11-10,2019-12-30,2020-01-19,2020-01-29,2020-02-08,2020-02-18,2020-02-28,2020-03-09,2020-03-19,2020-03-29,2020-04-08,2020-04-18,2020-05-28,2020-07-07,2020-07-17,2020-08-31,2020-09-25,2020-10-25,2020-10-30,2020-11-09,2020-12-14,2020-12-24,2020-12-29,2021-01-18,2021-01-23,2021-01-28,2021-02-02,2021-02-07,2021-02-12,2021-02-17,2021-02-27,2021-03-04,2021-03-09,2021-03-14,2021-04-03,2021-05-03
"MULTIPOLYGON (((866771.477990848 1531373.61415218,866752.691180507 1531379.09180564,866759.622570536 1531396.59059531,866767.843133348 1531390.20242251,866773.120763156 1531382.86493335,866771.477990848 1531373.61415218)))",-0.3798894882202148,-0.356919378042221,-0.0537589229643344,-0.2999496757984161,-0.3338793218135834,-0.2958950996398926,-0.25340136885643,-0.451343297958374,-0.3549280166625976,-0.4808345437049866,-0.5108743906021118,-0.5387496948242188,-0.5122972130775452,-0.1756222397089004,-0.1536007225513458,-0.1767388880252838,-0.1650443375110626,-0.1663057655096054,-0.1359747797250747,-0.0865306109189987,-0.3601473867893219,-0.4880834221839905,-0.2075739651918411,-0.5442677140235901,-0.5394706130027771,-0.5050880908966064,-0.3521268665790558,-0.4022031724452972,-0.1900729984045028,-0.2750642597675323,-0.1202185824513435,-0.2456832826137542,-0.1735324412584304,-0.3540183007717132,-0.4277378916740417,-0.1645038723945617,-0.3890649676322937,-0.5900229215621948,-0.4885320961475372,-0.5382317900657654,-0.4403693377971649,-0.4018484354019165,-0.3992452919483185,-0.4144827723503113,-0.3859407305717468,-0.4109635651111603,-0.3955200910568237,-0.3158825635910034,-0.4269258379936218,-0.322509229183197,-0.2920354008674621,-0.362765222787857,-0.4118859469890594,-0.4380726218223572,-0.4520932734012604,-0.3872881233692169
"MULTIPOLYGON (((866781.722681178 1531359.99366804,866749.005949695 1531369.78819105,866752.691180507 1531379.09180564,866771.477990848 1531373.61415218,866786.768902424 1531368.99012879,866781.722681178 1531359.99366804)))",-0.2861304841935634,-0.2770794406533241,-0.0538105340674519,-0.2239940911531448,-0.3631871044635772,-0.2220457643270492,-0.2244174405932426,-0.345969021320343,-0.330314040184021,-0.3784813359379768,-0.4569064825773239,-0.3939646556973457,-0.4068606421351433,-0.1666936948895454,-0.1526625379920005,-0.1632479764521122,-0.1519357394427061,-0.147527240216732,-0.1205963138490915,-0.0843968223780393,-0.350553847849369,-0.48590999096632,-0.1867948658764362,-0.4781761392951011,-0.4308400973677635,-0.4352709203958511,-0.2687078900635242,-0.292612612247467,-0.2025964856147766,-0.2227544672787189,-0.0844667199999094,-0.1943053938448429,-0.1444019190967083,-0.2367669865489006,-0.3935072645545006,-0.1608766168355941,-0.5788444057106972,-0.5949742645025253,-0.5158946812152863,-0.5654496401548386,-0.4572815373539924,-0.4266329631209373,-0.4134634807705879,-0.405682735145092,-0.4022779315710068,-0.3859940022230148,-0.3479095101356506,-0.2643302045762539,-0.3411066010594368,-0.2608091384172439,-0.2445076592266559,-0.3159893080592155,-0.3799688965082168,-0.3670128136873245,-0.3429283574223518,-0.2209365516901016
"MULTIPOLYGON (((866758.429788906 1531345.14169659,866773.026379233 1531340.03313068,866766.404112627 1531324.83313645,866754.970720232 1531328.45292974,866758.429788906 1531345.14169659)))",-0.5466326475143433,-0.4854975342750549,-0.0799347460269928,-0.4280779659748077,-0.3487360775470733,-0.2471246570348739,-0.3887240290641784,-0.5429587960243225,-0.2356051653623581,-0.21237114071846,-0.2456236332654953,-0.2824509441852569,-0.2505747079849243,-0.1619718372821808,-0.1423864364624023,-0.1581332087516784,-0.1483166515827179,-0.1443071514368057,-0.108417198061943,-0.091406911611557,-0.4997653663158417,-0.4795288741588592,-0.2078703641891479,-0.3744879961013794,-0.467665821313858,-0.6665209531784058,-0.5871404409408569,-0.5710466504096985,-0.5654937624931335,-0.4396533071994781,-0.1032186448574066,-0.3139559626579284,-0.2254949361085891,-0.3875623047351837,-0.3509469330310821,-0.1578680276870727,-0.6942209005355835,-0.4969292283058166,-0.4897541105747223,-0.5609756112098694,-0.4631253182888031,-0.3975308537483215,-0.3954484462738037,-0.3824331760406494,-0.3819523155689239,-0.3923009037971496,-0.3405736684799194,-0.3634610176086426,-0.3519269824028015,-0.3543947339057922,-0.2738970518112182,-0.2909987568855285,-0.2967227697372436,-0.2464427947998047,-0.3183444142341614,-0.3511777222156524
"MULTIPOLYGON (((866780.789249043 1531312.35196799,866805.605021894 1531301.94156376,866802.725270955 1531291.21435037,866801.019299655 1531291.7414606,866776.76237079 1531303.19691345,866780.789249043 1531312.35196799)))",-0.4078374604384104,-0.3450094163417816,-0.0316844781239827,-0.3915457129478454,-0.4556559820969899,-0.2243155936400095,-0.3540496627489726,-0.3698354562123616,-0.3686296542485555,-0.378521869579951,-0.4200959106286366,-0.4461591641108195,-0.4743262827396393,-0.3425550758838653,-0.2478651156028112,-0.2690609147151311,-0.2128612548112869,-0.2612205346425374,-0.217521071434021,-0.1049158175786336,-0.4529338280359904,-0.5628123978773752,-0.1034026270111401,-0.3538166284561157,-0.3418679038683573,-0.3452861408392588,-0.316735436518987,-0.3329532245794932,-0.329385757446289,-0.3658231596151988,-0.0970959613720576,-0.2581954896450043,-0.2811202804247538,-0.3964286148548126,-0.5486392478148142,-0.1861531436443328,-0.6934235294659933,-0.6224101781845093,-0.53692227602005,-0.5437323053677877,-0.3869142631689707,-0.4609279135862986,-0.4119718472162882,-0.4200884799162547,-0.4874869883060455,-0.3620074093341827,-0.4019827445348103,-0.3757954041163127,-0.439258982737859,-0.3153350055217743,-0.2862643599510193,-0.3846442600091298,-0.4139001071453094,-0.5191468497117361,-0.4661807616551717,-0.2988896469275157
"MULTIPOLYGON (((866741.543102166 1531349.90212734,866758.429788906 1531345.14169659,866754.970720232 1531328.45292974,866744.246326793 1531323.76288992,866734.290838916 1531327.40362751,866741.543102166 1531349.90212734)))",-0.4321433961391449,-0.4045282363891601,-0.0507886707782745,-0.3962845385074615,-0.3868258893489837,-0.3263925850391388,-0.4332586169242859,-0.5758273243904114,-0.5913158059120178,-0.512357360124588,-0.4943881452083588,-0.3858681976795196,-0.3814229428768158,-0.2701857656240463,-0.2398401886224746,-0.2489197224378586,-0.2455101758241653,-0.2273960053920745,-0.1683084994554519,-0.1053138181567192,-0.4743013978004455,-0.5301481187343597,-0.149059696495533,-0.3906875610351562,-0.4434287786483765,-0.5602306663990021,-0.5101052224636078,-0.5046460032463074,-0.6020512700080871,-0.5823307752609252,-0.1102850973606109,-0.3049458205699921,-0.2812449634075165,-0.3478611677885055,-0.427949583530426,-0.1755468815565109,-0.6931815862655639,-0.4894311010837555,-0.4933115363121033,-0.5384768545627594,-0.4481839776039124,-0.5299924194812775,-0.5246904373168946,-0.4861984848976135,-0.4608576953411102,-0.4730862438678741,-0.4490868866443634,-0.4672162115573883,-0.4851993441581726,-0.4410100519657135,-0.3290317296981812,-0.3605001032352447,-0.3981464087963104,-0.3429785370826721,-0.3329592704772949,-0.2746273458003997
"MULTIPOLYGON (((866773.026379233 1531340.03313068,866758.429788906 1531345.14169659,866741.543102166 1531349.90212734,866743.353038861 1531355.51705408,866749.005949695 1531369.78819105,866781.722681178 1531359.99366804,866773.026379233 1531340.03313068)))",-0.3963080942630768,-0.3183433754103524,-0.0626883703683103,-0.3143477077995028,-0.4477950717721666,-0.278741506593568,-0.3402364360434668,-0.3648459570748465,-0.3043200969696045,-0.2675496446234839,-0.2902509144374302,-0.2893411772591727,-0.2957459496600287,-0.2072600296565464,-0.1881058482187134,-0.2088503912091255,-0.192783093878201,-0.1993644929357937,-0.1572367900184222,-0.097817382642201,-0.4122656966958727,-0.5832686339105878,-0.2029183911425726,-0.4011058253901345,-0.381619210754122,-0.4013849411691938,-0.3499470055103302,-0.3278930293662207,-0.3466632281030927,-0.3237852305173874,-0.0977808492524283,-0.2390053612845284,-0.2138995102473667,-0.3000857042414801,-0.4548629777772086,-0.159743777343205,-0.6696583032608032,-0.6087447490010943,-0.54783695936203,-0.5663159574781146,-0.4604469963482448,-0.5120657767568316,-0.491249075957707,-0.4842253582818167,-0.4540604906422751,-0.4482659484658922,-0.4356064370700291,-0.4089895912579128,-0.4494557210377284,-0.3561691279922213,-0.3171507162707193,-0.3727439854826246,-0.4067227414676121,-0.4104135377066476,-0.3741424850055149,-0.237288664494242
"MULTIPOLYGON (((866763.726775791 1531313.76363918,866779.207348314 1531308.75553645,866776.76237079 1531303.19691345,866770.313215275 1531288.88611351,866758.584227046 1531292.50172161,866763.726775791 1531313.76363918)))",-0.4135157267252604,-0.3391421238581339,-0.0405407113333543,-0.3637246489524841,-0.4773772060871124,-0.3070947676897049,-0.3513570229212443,-0.4742701649665832,-0.3636289338270823,-0.31282905737559,-0.3094866474469502,-0.3320928911368052,-0.3543962836265564,-0.2593530664841334,-0.2435786525408426,-0.2381200691064199,-0.2176000624895095,-0.2408663034439087,-0.198392982284228,-0.1090778534611066,-0.4767513076464335,-0.5696908632914225,-0.1154662817716598,-0.3903676072756449,-0.3785781065622965,-0.4016516904036204,-0.3269952833652496,-0.3449951310952504,-0.3512609302997589,-0.369417538245519,-0.112556072572867,-0.2663549383481343,-0.2905042072137196,-0.4616693158944447,-0.6126944621404012,-0.1982470552126566,-0.6795998215675354,-0.5912110010782877,-0.5235445300738016,-0.5101228952407837,-0.3698574602603912,-0.441432108481725,-0.4202652275562286,-0.4000251690546672,-0.4216625193754832,-0.3933431406815846,-0.3958639601866404,-0.39591184258461,-0.4454056123892466,-0.3681414425373077,-0.3013097991545995,-0.342497964700063,-0.3713469008604685,-0.3441022932529449,-0.3242873748143514,-0.2265934497117996
"MULTIPOLYGON (((866804.549659511 1531336.77636929,866793.32769217 1531340.85801307,866801.948525923 1531360.45745899,866810.736633123 1531357.07678927,866804.549659511 1531336.77636929)))",-0.3694187998771667,-0.2710516601800918,-0.0536609124392271,-0.2958329170942306,-0.4559715837240219,-0.244573175907135,-0.228117786347866,-0.2755420356988907,-0.340163305401802,-0.2996655255556106,-0.3085229843854904,-0.3012250065803528,-0.3271067440509796,-0.2032183483242988,-0.1963315904140472,-0.1743714213371276,-0.1738423481583595,-0.1721384078264236,-0.1276983805000782,-0.0869436375796794,-0.3665114939212799,-0.4966965615749359,-0.1381703279912471,-0.2997087389230728,-0.2905740439891815,-0.3807946890592575,-0.3282019644975662,-0.4065361618995666,-0.4896242320537567,-0.5280199646949768,-0.0865818671882152,-0.3728027194738388,-0.2264980524778366,-0.3913206905126571,-0.5575623512268066,-0.1415245980024337,-0.6872849762439728,-0.6232650578022003,-0.5654365718364716,-0.5646173059940338,-0.4623326659202575,-0.445900559425354,-0.4555083215236664,-0.4632967263460159,-0.4096209555864334,-0.4439586997032165,-0.420069545507431,-0.3654104024171829,-0.3095643520355224,-0.3334652334451675,-0.2838000208139419,-0.3615329414606094,-0.4510647505521774,-0.4546392560005188,-0.4471628367900848,-0.241692453622818
"MULTIPOLYGON (((866793.32769217 1531340.85801307,866776.113571695 1531347.11912842,866781.722681178 1531359.99366804,866799.738040907 1531361.30780419,866801.948525923 1531360.45745899,866793.32769217 1531340.85801307)))",-0.2542224861681461,-0.2280742079019546,-0.061628894880414,-0.2125523015856742,-0.3780160322785377,-0.222292173653841,-0.2222372852265834,-0.2752059623599052,-0.2384455502033233,-0.2121407762169838,-0.2290250100195408,-0.2097043953835964,-0.2151032462716102,-0.1441245414316654,-0.1302830018103122,-0.1294475886970758,-0.1399008017033338,-0.1256762202829122,-0.1096006836742162,-0.0822534877806902,-0.3861756399273872,-0.5436287224292755,-0.1431943345814943,-0.3526847660541534,-0.2991567179560661,-0.3111514672636986,-0.2580513767898083,-0.2604761943221092,-0.3249689564108848,-0.3087439499795437,-0.0908840484917163,-0.2630617134273052,-0.1638615503907203,-0.3664255514740944,-0.5716679841279984,-0.1433324590325355,-0.6165523827075958,-0.621842622756958,-0.5605535954236984,-0.5676771253347397,-0.395006962120533,-0.4193965196609497,-0.4475494548678398,-0.3875728398561477,-0.3256704732775688,-0.4024251103401184,-0.3546561598777771,-0.3129815608263016,-0.3053369373083114,-0.2834044098854065,-0.2505513988435268,-0.2977058291435241,-0.3646849617362022,-0.3858507648110389,-0.4093855768442154,-0.239010002464056
"MULTIPOLYGON (((866789.664510541 1531332.529791,866773.026379233 1531340.03313068,866776.113571695 1531347.11912842,866793.32769217 1531340.85801307,866789.664510541 1531332.529791)))",-0.2850595712661743,-0.2321692109107971,-0.0341380424797534,-0.2239808142185211,-0.3580677211284637,-0.2028985470533371,-0.2236076444387436,-0.2127659618854522,-0.2249730825424194,-0.2359731495380401,-0.2153313755989074,-0.2136075943708419,-0.1990159898996353,-0.1293390393257141,-0.1368176490068435,-0.1204846277832984,-0.123855210840702,-0.112455666065216,-0.0974447801709175,-0.0820336267352104,-0.4440338015556335,-0.5289620757102966,-0.1973602771759033,-0.3099041581153869,-0.2896710932254791,-0.2795883417129516,-0.2535862028598785,-0.2509234249591827,-0.2973404228687286,-0.2419587075710296,-0.0824233889579773,-0.2195348888635635,-0.1643895953893661,-0.3650118112564087,-0.6131107807159424,-0.1512887626886367,-0.6429495215415955,-0.613061249256134,-0.5234042406082153,-0.5182529091835022,-0.3260204195976257,-0.2960733771324157,-0.271466314792633,-0.3104119300842285,-0.2835126519203186,-0.2804589867591858,-0.2394022494554519,-0.2271620035171508,-0.2001231461763382,-0.1986706107854843,-0.2102416157722473,-0.2256499081850052,-0.2957080006599426,-0.2753086388111114,-0.2527975440025329,-0.2783018946647644
